standard_family_id,standard_family_key
FAM-EA121630F0B7,IS 2892
FAM-70DFCA59ADA1,IS 3084
FAM-AD8544182E66,IS 5966
FAM-143D98E08408,IS 18469
FAM-171CFDD6B5CC,IS 18458
FAM-23D13A5B5B85,IS 18293
FAM-4A8F618B713E,IS 18451
FAM-E8AD3A1F7D57,IS 7698
FAM-39ECCAF3F15F,IS 13205
FAM-1E6C5BB6ECCD,IS 15638
FAM-A39F2B4E6E4E,IS 18522
FAM-C9F7808D20B5,IS 6559
FAM-2AF3172B4BD5,IS 7997
FAM-50DB7958F176,IS 8140
FAM-6CF704490C02,IS 10642
FAM-963251EE30A8,IS 15537
FAM-86B075B759F9,IS 18516
FAM-BD4F62D080DB,SP 73
FAM-591235D6173C,IS 17784
FAM-17C4AC443E4D,IS 16121
FAM-08AC92BFD5DE,IS 18499
FAM-8F5497D09B49,IS 18500
FAM-D3224A0ED6CE,IS 18501
FAM-DF1FA3AB8025,IS 8067
FAM-2C3E394B4601,IS 9828
FAM-1E492E941A82,IS/ISO 9809
FAM-786831A7598B,IS/ISO 11515
FAM-B6F5285F9F86,IS 17717
FAM-DF6CCEC308E2,IS 18518
FAM-122EB9D0B1D6,IS 2593
FAM-E8B1B0FA90E6,IS 5678
FAM-D54643A9A80D,IS 7890
FAM-2E2DD111D4EA,IS 8143
FAM-B90FE64E37E2,IS 8160
FAM-F949F2D57EF1,IS 9051
FAM-4F3E04D593AD,IS 10128
FAM-DB6C05CAEAAD,IS 11287
FAM-82F9BFDFE7E2,IS 8182
FAM-076E26DCDFE0,IS 13838
FAM-8A3745BFF6B8,IS 17720
FAM-224E84AC5E4E,IS 16270
FAM-9BA9D79BB0B9,IS 10727
FAM-1B87925B9B23,IS/ISO/IEC 14543
FAM-36FFDCD3F711,IS 19039
FAM-164BE20776E9,IS 19040
FAM-F37C3657B167,IS 19041
FAM-218D56BA254E,IS 19042
FAM-0DED8943ABE9,IS 7889
FAM-4F91E1E77A40,IS 2442
FAM-84C6166B4EB3,IS 19035
FAM-C6E35549E724,IS 19036
FAM-C19731B49551,IS 19037
FAM-CE6E29DA7BEB,IS 18386
FAM-A602F3017826,IS 18388
FAM-11443FE12FE5,IS 18428
FAM-CACDBBDB3E6D,IS/ISO/IEC 22989
FAM-D0BB7D2AE06B,IS/ISO/IEC 23053
FAM-3E73CBFFFA22,IS/IEC 61786
FAM-1B4C9B606AF8,IS 8098
FAM-BBC80862A7D5,IS 8792
FAM-F02A85648392,IS 11954
FAM-0C605E96845E,IS 12387
FAM-FD96C82C5F8A,IS 13627
FAM-F193D2DD1493,IS 14464
FAM-4B14BE1D4185,IS 14465
FAM-7BC53CF8332E,IS/IEC 60305
FAM-FD29240592BB,IS/IEC 60372
FAM-03C63875BCFD,IS 16792
FAM-02CDE2C6AA99,IS 964
FAM-587879F91F0F,IS 1313
FAM-6994D63E211B,IS 3656
FAM-0AD6A366DFAA,IS 4826
FAM-9E1E672F3EA4,IS 11635
FAM-F05900AF7CCC,IS 14444
FAM-8204D086975F,IS 17719
FAM-76B896392065,IS 18366
FAM-694DE8E04BE0,IS 18438
FAM-5357110A79E3,IS/ISO/IEC 29192
FAM-8E8CB564D0D5,IS/IEC 62508
FAM-6E25BCDEF817,IS/IEC 61123
FAM-4576D9A62D93,IS/IEC 62586
FAM-3AD40FD6436B,IS 7877
FAM-4C2C6A75B6F0,IS 11512
FAM-269778534C4B,IS 6192
FAM-BDA3F0CF87E8,IS 6899
FAM-D88AD5A78865,IS 8069
FAM-2E843D98219B,IS 11840
FAM-C1B9C339D26A,IS 11273
FAM-75EF6057E30B,IS/IEC 60720
FAM-09365D75687E,IS 14565
FAM-85C55DECFE27,IS 10623
FAM-431498CFD957,IS 966
FAM-4572CECA8F2C,IS/ISO 20671
FAM-34C1626E3FC7,IS/ISO 22379
FAM-56C314F6B7F5,IS 6206
FAM-DFB201285491,IS 9446
FAM-69B762C35EE6,IS 9625
FAM-C20FF6EEE10B,IS 12976
FAM-02B13CBBFEAC,IS 19027
FAM-38529CAD08E7,IS/ISO/PAS 50010
FAM-0270DCD65263,IS/ISO/TS 50011
FAM-02528D697415,IS/ISO 50006
FAM-0F7DD8691606,IS 1009
FAM-14E16544A4EB,IS 1010
FAM-14D7174CE3AE,IS 6031
FAM-0CD940E4A9ED,IS 7959
FAM-6A808AC19004,IS 6396
FAM-78F8EBD10D6A,IS 17922
FAM-519B67F91D3E,IS 18374
FAM-2A5F18A667C1,IS 18376
FAM-E1052B08100E,IS 18436
FAM-6C6630F5B1DC,IS 18463
FAM-55679E328394,IS 18322
FAM-18072E514C3C,IS 18323
FAM-FB4EF23530F2,IS 18450
FAM-4EC052CD6E60,IS 2017
FAM-1772A1AB2E90,IS 18439
FAM-6A75E0C40BCE,IS 18320
FAM-953735B36AA8,IS/IEC TS 61463
FAM-40F757D58D3A,IS 755
FAM-EDE26FA29B34,IS 756
FAM-812BB6250EF8,IS 3854
FAM-40F2804C99F0,IS 384
FAM-61F7729E68F0,IS 2157
FAM-1BB87BA38CC7,IS 2258
FAM-10986A9E5413,IS 2384
FAM-93D5C9A4DE8A,IS 4228
FAM-F30665C083FC,IS 8929
FAM-37DA6FE03081,IS 9906
FAM-0CAA4D5EF520,IS 5841
FAM-E2585B199C0A,IS 6482
FAM-C9F63B5FE385,IS 8367
FAM-7BD73F4704BE,IS 9007
FAM-362B893B5FB1,IS 9914
FAM-A7D55D0BF158,IS 10174
FAM-54024DA23658,IS 11084
FAM-E5B4E9FD6126,IS 13141
FAM-93EF96B56AD5,IS 13221
FAM-13201126EEA2,IS 16673
FAM-8AA9DB578701,IS 8392
FAM-E29F3D640CFD,IS 4394
FAM-1A14458A4EB0,IS 11520
FAM-79C98BBA5561,IS 11627
FAM-78F71FE51355,IS 11959
FAM-F0FBC02656A9,IS 12910
FAM-0D62730CB346,IS 18321
FAM-8ADA9EA893AE,IS 18324
FAM-CBB5758907B6,IS 18345
FAM-ACB27F0D057F,IS 18452
FAM-786D476E330B,IS/IEC 62628
FAM-AC164861A94B,IS 15597
FAM-180B383A9AA7,IS 18437
FAM-79380F66663D,IS 1349
FAM-D68235577E08,IS 1383
FAM-5286F1C7C93A,IS 1689
FAM-00638677C098,IS 11960
FAM-646E148DBA5B,IS 13626
FAM-7D2F4B56DD8A,IS 1655
FAM-845BD9221E5B,IS/ISO 14155
FAM-2748EC595D45,IS 18435
FAM-B20141434FD0,IS 12117
FAM-50496F85A3C5,IS 18237
FAM-F9C4BF94619F,IS 863
FAM-2285D63260E7,IS 9139
FAM-479E585F42B4,IS 9073
FAM-6E65B972A6FB,IS 5476
FAM-63FB085C02E6,IS 889
FAM-7B5DEB7B6D85,IS 891
FAM-C27D1943F796,IS 893
FAM-49090D0DFB1C,IS 894
FAM-1C49429FB10D,IS 895
FAM-131AD0FD8B64,IS 1095
FAM-2F5CFE648E6E,IS 1099
FAM-FEBD3138DCFB,IS 1266
FAM-450DB420DB01,IS 1450
FAM-6FCAE2E518AB,IS 1814
FAM-E0BF6FC603EA,IS 2160
FAM-55E3ECA05D97,IS 2172
FAM-6C5EA5606673,IS 2714
FAM-EFB742DBCA05,IS 2715
FAM-58E79AA4C3E4,IS 4629
FAM-A2B4B5182928,IS 8039
FAM-A242C2581130,IS/ISO 12381
FAM-58D4B3AFFCE4,IS/ISO 13119
FAM-AAF0CE0D38FD,IS/ISO 13120
FAM-2F73500B6E2B,IS/ISO/TS 13972
FAM-438C7EE857D3,IS/ISO 16278
FAM-78EAD26C8ABC,IS 17715
FAM-8A500410FDE5,IS 17713
FAM-4FAC1277542A,IS 17714
FAM-BAFEF19AD7CE,IS 18298
FAM-FA97EB2F075F,IS 16631
FAM-DEE74C0A6AD0,IS/ISO 17117
FAM-37C70C1D3079,IS 18341
FAM-E9103BEFDDD4,IS/ISO 20302
FAM-81FBE2791066,IS/ISO 21860
FAM-E02F7CAF0989,IS/ISO/TS 17975
FAM-C9EA9E5A3532,IS/ISO 23903
FAM-CED08ECB862F,IS/ISO/TS 82304
FAM-8CB0D7CE9955,IS 751
FAM-34FBAA73A8E2,IS 752
FAM-1B9196985C8A,IS 862
FAM-D17477B3135A,IS 864
FAM-0481F0D9BF86,IS 896
FAM-BF2BBEE9362D,IS 1244
FAM-9C427310B3D4,IS 1245
FAM-E12776606B43,IS 2173
FAM-DE89F401E39A,IS 9153
FAM-5C992FA7C3A9,IS/ISO/TS 17117
FAM-D770C35A2101,IS 16619
FAM-ED5D76545D61,IS/ISO/TS 22272
FAM-B6C45553A3D7,IS 2159
FAM-949277B6C357,IS 16155
FAM-5CDAE9385E90,IS 9794
FAM-2B968A967329,IS 13771
FAM-4A5D7038E3E2,IS 16683
FAM-E3EC1455334A,IS 1265
FAM-D984AC8CEE9E,IS 18482
FAM-018D4E932B2D,IS 654
FAM-260348B1F2B9,IS 1478
FAM-4A26F4BF04EF,IS 1121
FAM-02133AAC0880,IS 1122
FAM-47781BB9F410,IS 18465
FAM-A82932B3741D,IS 18800 : 2023
FAM-624C00150F96,IS/ISO 30400
FAM-C3EC2F097D72,IS/ISO 21856
FAM-9729F6D11025,IS 16590
FAM-9A087834A698,IS 8105
FAM-3283E9917032,IS 11582
FAM-CC478D3A5E6D,IS 11609
FAM-289F624396DA,IS 12520
FAM-4A67C1F1EAC0,IS 14350
FAM-6A745C82823A,IS 15899
FAM-E0F2922D87A1,IS 6399
FAM-60EC86C54CA7,IS 7884
FAM-2ECB16181B89,IS 16634
FAM-428A56207A66,IS 495
FAM-684A2E26EE69,IS 6072
FAM-0925ED7CE79D,IS 8419
FAM-297D550DA7F9,IS 17955
FAM-3DAC4FA785F4,IS 4832
FAM-D3BF9F945C03,IS 16172
FAM-5CC3A15A4A35,IS 18462
FAM-67EE14D770CE,IS 18476
FAM-648F1FDC818F,IS 3566
FAM-CCB905D1CAD5,IS/ISO/IEC/TS 4213
FAM-5AA276548077,IS 6609
FAM-65175A075F77,IS 18453
FAM-CA308136958E,IS 18454
FAM-9B52A3FBA44D,IS 18455
FAM-1B5220B18FDB,IS 18456
FAM-43C3533FA8B5,IS 18457
FAM-A0723A9C7C3D,IS 18475
FAM-A2F807EDA56D,IS 14927
FAM-5EB41C9EFCFB,IS 15354
FAM-045BAE9882CC,IS 3789
FAM-8778738F8733,IS 4909
FAM-130BE6CB52F0,IS 6268
FAM-1FFFEF79F402,IS 17392
FAM-B879B5B12D46,IS 18256
FAM-C5807C34338E,IS 15759
FAM-B9F9E827961D,IS 18389
FAM-81DC2D2FD8E2,IS 18390
FAM-2076A941A5C5,IS 18391
FAM-0A60BC8507C9,IS 18433
FAM-4D5C6B665C03,IS 1196
FAM-210B98B5FD6F,IS 4127
FAM-0E0EA64C7B77,IS 18363
FAM-1DFBC8096802,IS 18441
FAM-B41ED78577E9,IS 18440
FAM-0061CC25D932,IS 18150
FAM-DD81C4D2E226,IS 2018
FAM-4A2CC62FD401,IS 2176
FAM-920321497E41,IS 2605
FAM-56739AB158A1,IS 2782
FAM-C8025173E548,IS 6233
FAM-FD6B5AD8091E,IS 6281
FAM-2E9ACABDC94A,IS 6371
FAM-4A3C4918EA7C,IS 6484
FAM-20A18A617D68,IS 6485
FAM-2493DF5D2A93,IS 6501
FAM-FEB5DBC8AF36,IS 6503
FAM-E69CE1346C91,IS 8176
FAM-384115D35E85,IS 8926
FAM-EB2E842BDD7A,IS 11169
FAM-748AEBD221DA,IS 18360
FAM-0C84F7EF610B,IS/ISO/IEC 27005
FAM-C7D4BA6F91B4,IS/IEC 60320
FAM-B7E79E21235E,IS/IEC/TR 63282
FAM-E0D1DBB5FDE0,IS 10872
FAM-02605F5EF7A0,IS 9265
FAM-DA9B711BC665,IS 9279
FAM-6FB889BC0C65,IS/IEC 63318
FAM-52BA163095AF,IS 10728
FAM-48B1776DD3CE,IS/IEC 60309
FAM-7FE095167489,IS 27
FAM-6A3086C52E32,IS 419
FAM-BA5425E06C6D,IS 1729
FAM-888D3DA0A943,IS 11111
FAM-7E3E27D3B62B,IS 5850
FAM-681D4DBF44ED,IS/ISO/TS 30423
FAM-BA194D9FF0E1,IS/ISO/TS 30425
FAM-E0A3A5165CCA,IS 723
FAM-57FC95F886C4,IS 1363
FAM-A1663C4D0BFD,IS 1971
FAM-38E71DD504DF,IS 8998
FAM-4D213E3E6130,IS 7896
FAM-DE54187627C6,IS/ISO 11031
FAM-2F24C961AE4A,IS 13559
FAM-17D67452882A,IS 18154
FAM-EFDB04DF5B54,IS 18272
FAM-5CC3206B1510,IS 18381
FAM-6C3F05FDE1F0,IS 1735
FAM-E321CCDE0F8D,IS 7459
FAM-5B2C4419478F,IS 9591
FAM-AB809328D5B6,IS/ISO 11925
FAM-594D91B9E379,IS 14136
FAM-E6CD643478E9,IS 10956
FAM-E530A60D7E5D,IS 9725
FAM-D7725BD3C0D3,IS 18364
FAM-C3CA0985577D,IS 18365
FAM-E316813AC43D,IS 18367
FAM-E140F977F0AA,IS 18368
FAM-B4B546ED786E,IS 18369
FAM-277E89189D3B,IS 18370
FAM-248D8E791DC6,IS 18372
FAM-0F0EE926E1AE,IS/ISO 21503
FAM-A40F6CF92364,IS/ISO 21504
FAM-3975C2C5C6EB,IS/ISO 22327
FAM-3468B480A28B,IS/ISO/TS 30410
FAM-1788A53C717B,IS 3291
FAM-EDFBF867F280,IS 11859
FAM-B1D2249F7CF4,IS 18732
FAM-26C5EE058E25,IS 486
FAM-F378E88A3338,IS 3627
FAM-F42FF2888DF6,IS 3825
FAM-AA2C6C99DA26,IS 4264
FAM-C0B2D5F779A5,IS 4438
FAM-C6B09EC0D47D,IS 4775
FAM-5BE8C288A5EA,IS 4739
FAM-F86FB5AE3651,IS 8137
FAM-8C693848F01B,IS 8138
FAM-165D4C590DE4,IS 8139
FAM-24D6B0CE0CDD,IS 8545
FAM-06E0ACD8C0F4,IS 8875
FAM-5E0460FAA094,IS 9287
FAM-0BFF2A9DBBC0,IS 9565
FAM-017CE6F6DF37,IS 11508
FAM-4BC92184EBA3,IS 11933
FAM-929D04E5A833,IS 12885
FAM-5B83CF298DE5,IS 12886
FAM-76D76A6C7901,IS 13751
FAM-1510D8A96C38,IS 13923
FAM-381783DDB8C0,IS 14614
FAM-21F83EBE87B9,IS 14677
FAM-4BC72FFF6292,IS 18291
FAM-0287536BECE8,IS/IEC 60120
FAM-12B659DC1847,IS/IEC 60433
FAM-598B08B92763,IS/IEC 61211
FAM-31037E788470,IS/IEC 61325
FAM-016234C4016C,IS/IEC TS 62371
FAM-112B5E76366B,IS/ISO 1716
FAM-E95940AE79D1,IS 9751
FAM-67DDF6670A3E,IS 10056
FAM-6E4B852B5B33,IS 9280
FAM-31BA20A221ED,IS 1752
FAM-CD6DB2A8381E,IS 6013
FAM-8983D396C162,IS 6788
FAM-7F6BA8A19EDF,IS 9244
FAM-24373801BF62,IS/IEC/TR 60575
FAM-FCB4C62789BE,IS 1360
FAM-7DD3EBCE7DDD,IS 11142
FAM-038C5DBFCB69,IS 18431
FAM-941421B7137D,IS 18447
FAM-BBD428549472,IS/ISO 22392
FAM-B07A7B759F8B,IS 1561
FAM-261170604D2B,Is 2347
FAM-08FF4A6DA33C,IS 11501
FAM-1638E4A26965,IS 18429
FAM-C431133B5E3C,IS 1491
FAM-5DDEEED50ACC,IS 1563
FAM-7176A48A1D94,IS 3959
FAM-3171B9338D89,IS 8132
FAM-4F7A39BF9920,IS 18404
FAM-C298AE672A39,IS 18396
FAM-34EAE08DC69A,IS 18398
FAM-B3E34D0A3FE8,IS 18399
FAM-D724C11B4AFE,IS 18400
FAM-0A00A1AA83C4,IS 18401
FAM-D33D28E9DAF5,IS 18402
FAM-3ACD572C737D,IS 18403
FAM-03CA01CE630D,IS 18420
FAM-E19B2978B055,IS 2314
FAM-DBE838E0663F,IS 18311
FAM-897D1BB3A62D,IS 18393
FAM-AAC468B30871,IS 18394
FAM-E4EC91410EE9,IS 18395
FAM-53FF5DFD17C3,IS 18407
FAM-0D8AD667CBC2,IS 18408
FAM-DF445778C52A,IS 18409
FAM-E47E4C82358A,IS 18411
FAM-3C2CE82E5A8F,IS 18412
FAM-C6EE4756C8B0,IS 18413
FAM-73807ADF92DD,IS 18414
FAM-4DBC39279B8C,IS 18415
FAM-A62217054F34,IS 18416
FAM-B8FC6A032532,IS 18417
FAM-C5F8BF8E4B5B,IS 18418
FAM-E414970F5ABC,IS 18419
FAM-50D023EB9014,IS 18421
FAM-4ABFDE58C45D,IS 18422
FAM-43B931F3AC9C,IS 18423
FAM-0B2E9D2B3B77,IS 18424
FAM-35FA0CBDCEBE,IS 18425
FAM-05EA83A865F6,IS 18426
FAM-DDF5FAF713B2,IS 18397
FAM-26F53D6CA400,IS 18405
FAM-7BDC2879867C,IS 2210
FAM-279DD6FC6BD7,IS 7314
FAM-AA3921FEBC6F,IS 18351
FAM-98029491BC0F,IS 18355
FAM-A54F848916B8,IS 18406
FAM-90FA152A2A15,IS 18348
FAM-712B9FE7C473,IS 18350
FAM-D8F9B84E67D2,IS 18352
FAM-36758900A31E,IS 18353
FAM-5390ABBDF81A,IS 18354
FAM-985231D33B74,IS 4651
FAM-9754E035CBE9,IS 18312
FAM-CA1ACB4E805B,IS/ISO 22396
FAM-DC516EACBF5F,IS 18356
FAM-FD0A68F41C38,IS 18357
FAM-16581D0090BE,IS 18358
FAM-61A87274E622,IS 14894
FAM-1B3FDEFDABFE,IS 18379
FAM-C01572880078,IS 16700
FAM-C3C8F1BE6140,IS 6604
FAM-A45C70F8764F,IS 15958
FAM-5EF72BC43F75,IS 7490
FAM-6CDE2B3D8392,IS 758
FAM-3E34336E65B4,IS 797
FAM-EF9A8737BCBF,IS 2573
FAM-01F74A8CD856,IS 7494
FAM-2542A79ACFCC,IS 14650
FAM-4A394582FEC7,IS 724
FAM-8F9797C8EE46,IS 6487
FAM-B87088E0E323,IS 11956
FAM-0D9D8B9978EE,IS 10157
FAM-33B10E78A810,IS 2233
FAM-EB3AA9ED8058,IS 18268
FAM-E82B8D2B2825,IS 18350 : Part 1 : 2023
FAM-37A08097D080,IS 19006
FAM-9ABF8A4FFEC6,IS/ISO 22384
FAM-C14DC6BACB74,IS/ISO 32210
FAM-5D7FE2450A5C,IS/ISO 41018
FAM-6960589B094B,IS 7792
FAM-C3DA4E1102BD,IS 5428
FAM-D81394D76468,IS 18380
FAM-84490A7D9863,IS 6913
FAM-4B4ABB36F4A5,IS 9410
FAM-E57768674E27,IS 9903
FAM-AE382B1C8204,IS 9904
FAM-E5D3C56121D3,IS 9041
FAM-172EA9EF6E41,IS 9074
FAM-32E130F154E9,IS 15370
FAM-9571E21D01B7,IS 17529
FAM-FC13FCF192E2,IS 14577
FAM-ABA4E954E371,IS 18347
FAM-B825A1815879,IS 8380
FAM-CC05F2D0B500,IS 9072
FAM-A9EE68C4F519,IS 9933
FAM-62C7A2FD338E,IS 12037
FAM-FB4F026B7E2D,IS 8799
FAM-3263D245BDF0,IS 13180
FAM-EDA0F1F75CB9,IS/ISO 41015
FAM-F82E3D5038A1,IS 5824
FAM-760CEF825ADB,IS 10172
FAM-14B8B0BDA44A,IS 17895
FAM-2191C7C37357,IS 18387
FAM-AD7765A92146,IS/ISO 22383
FAM-34247FE2CEC3,IS 8010
FAM-E6351791E067,IS/ISO/TS 23635
FAM-D722AC0571D9,IS 11289
FAM-10F0BC4A9354,IS 11291
FAM-5DEE3542CF74,IS 16458
FAM-9DB776B64564,IS 64
FAM-A9A89CEF2868,IS 10453
FAM-503CCFE81C4E,IS/IEC/TS 61439
FAM-5B2C4C63AA78,IS/IEC 60898
FAM-4445C53E5924,IS/IEC 60645
FAM-3CE8D7ACAD28,IS/ISO/TR 24971
FAM-F703A496B590,IS 18325
FAM-9BC6B9040DC3,IS 18314
FAM-F801EBBD323E,IS 18310
FAM-F213E1EC5C1A,IS 18306
FAM-8B802005CA97,IS 18303
FAM-ED8C81B5AAF6,IS 18302
FAM-43D447D38A78,IS 18301
FAM-A1CA640A2E8E,IS 18198
FAM-E8B365EFD124,IS 18296
FAM-3A030A2F9C58,IS 18295
FAM-4CC362B954B5,IS 309
FAM-1990265E3814,IS 674
FAM-DA4464626ADB,IS 835
FAM-280601A0BD6E,IS 1599
FAM-0972C5709BB6,IS 2246
FAM-41F558E1EB34,IS 4156
FAM-AD2407D83D31,IS/ISO/TR 3242
FAM-17B0306BBCF9,IS 6127
FAM-27BD44849E20,IS 6164
FAM-3A53A5376ADA,IS 8800
FAM-CE03D127BF5D,IS 10047
FAM-40A8C20CFF58,IS 10724
FAM-654215047C36,IS 11110
FAM-26716EA6E9D1,IS 13675
FAM-2DA08136EE0C,IS 14814
FAM-BA924EF4E869,IS 16411
FAM-79B912230FF7,IS 16413
FAM-7CBA2F3630A7,IS 17994
FAM-1365B830DB55,IS 18076
FAM-94A87261EA83,IS 18169
FAM-8A1446C3E6B9,IS 18171
FAM-F0B176F8A43A,IS 18288
FAM-D5B01A883C14,IS 18359
FAM-65E048DB77C3,IS 18378
FAM-347695418992,IS 18385
FAM-824DA5B4829B,IS 18384
FAM-5A5647ACFB96,IS/ISO 20743
FAM-61036703BFA2,IS/ISO/TR 23249
FAM-748F7E037C9E,IS/ISO 23257
FAM-78592030E4E5,IS/ISO/TS 23258
FAM-C8C49C04C575,IS 1843
FAM-E979868CDD8D,IS 3988
FAM-A9391F5DF9D5,IS 9827
FAM-17EE51F6875D,IS 11434
FAM-06BA20FD952C,IS 11704
FAM-4A15189AE2BE,IS 18382
FAM-1CE3AFBE9C24,IS 12210
FAM-75629F601C1F,IS 1391
FAM-80422BCE063C,IS 1723
FAM-2A8528B9C81D,IS 1867
FAM-83D50B74FA94,IS 4184
FAM-A955886CEC4E,IS 6808
FAM-C74BD01EB19E,IS 6880
FAM-5DDB98F3A6C8,IS 7211
FAM-084401CCD30D,IS 7763
FAM-AE9DD94E8CA0,IS/ISO 18885
FAM-80AC51388A2E,IS/ISO 21360
FAM-C3AD1EB961CE,IS 9294
FAM-E38400EAE850,IS 16585
FAM-BF677616636E,IS 8748
FAM-FD4CA53A6599,IS 15498
FAM-23842FB98779,IS 18371
FAM-B6568A3241F6,IS 9746
FAM-97E8DE7AEC41,IS 11193
FAM-07C16394AA6D,IS 9675
FAM-A52505D58FF0,IS 10692
FAM-CDF0355A19D4,IS 3344
FAM-5FFF5D26FDA6,IS 3966
FAM-F67CD3A76ADB,IS 5644
FAM-DD68A7BC1BDD,IS 17090
FAM-A5823D203FB2,IS 5661
FAM-1D65F495FFCD,IS 18315
FAM-53CBD042E25E,IS 15026
FAM-6EF234673E4A,IS 10433
FAM-D21364C583E6,IS 10035
FAM-4A3C864D0D9B,IS 17151
FAM-344563D3758C,IS 17415
FAM-43500E2CB165,IS 7400
FAM-B04BBC5EDE12,IS 12628
FAM-03AD53132A7C,IS 13842
FAM-FD526B0F1252,IS 18299
FAM-B1BC09E4CEE4,IS 8015
FAM-A6EFB45FE0B3,IS 11119
FAM-2BF50B9DBB4F,IS 12095
FAM-274B5BAF0DF2,IS 5324
FAM-3B0952F5D156,IS 2505
FAM-1D7A337AA9B5,IS 17918
FAM-D970467ABA0D,IS 18326
FAM-3D9991688C83,IS 18328
FAM-460A7A766684,IS 18329
FAM-72699D58475D,IS 18330
FAM-26DA36EBE673,IS 18331
FAM-B5F9D8D821A1,IS 18346
FAM-B0579B2938F8,IS 18333
FAM-13CA9F298E64,IS 18334
FAM-5E1DB80F8055,IS 18336
FAM-85234FD32348,IS 18337
FAM-A7993ED129A2,IS 18338
FAM-2FE8BEF90ACA,IS 18335
FAM-A440419A7C34,IS 18339
FAM-D797B2203F87,IS 11188
FAM-F7C61DCD4926,IS 12526
FAM-BCB050BFC77E,IS 9152
FAM-651994D42650,IS 18361
FAM-B676355B8B60,IS 18316
FAM-101AD00AD5CA,IS 17143
FAM-9D1CEB38BC65,IS 17146
FAM-18E3BAEA93BB,IS 235
FAM-2FCD35AA51B1,IS 133
FAM-819FB914E9DE,IS 261
FAM-B48DA92AAFE3,IS 573
FAM-F0E7E5A24083,IS 711
FAM-1AA9ABEFD099,IS 799
FAM-41595ED84EC8,IS 2124
FAM-ED66BC01E7D6,IS 2142
FAM-DFE78BB06BF1,IS 3401
FAM-A039379FA110,IS 11569
FAM-245968B492C0,IS 347
FAM-0CE1418CF00F,IS 5083
FAM-F7AFD09AF4F2,IS 8590
FAM-3FC5C610D24A,IS 13200
FAM-5C997B2455D0,IS 16902
FAM-0183D5ECF82C,IS 18307
FAM-D6AD7D95C0F3,IS 18308
FAM-A6BE17542607,IS 2542
FAM-FE27C6C360EE,IS 4879
FAM-F050158B2A5A,IS 5282
FAM-59C67840CF0B,IS 11315
FAM-14FD2057374E,IS 12679
FAM-9E05A515F311,IS 18061
FAM-D8F000388EBA,IS 18084
FAM-AC571A62D079,IS 18139
FAM-72DAE91CB578,IS 18153
FAM-080A12E3950D,IS 18168
FAM-42F586B56B7A,IS 18289
FAM-5D2763277FE9,IS 18271
FAM-DCBFFB628128,IS 18300
FAM-5B7981D3B71C,IS 6307
FAM-5531F2EAE111,IS 7051
FAM-61B22146D56A,IS 8551
FAM-9D326CB44D19,IS 8552
FAM-CC08D67B2CFC,IS 8553
FAM-F75A93826C01,IS 10457
FAM-977D27F5E2A3,IS 10458
FAM-EA79C5974FE4,IS 13726
FAM-4F8F0C758EE6,IS 15430
FAM-EC3CC7882DA4,IS 16460
FAM-4143D955FBCB,IS 16898
FAM-3980E5894502,IS/ISO 10667
FAM-6B4D98FF37F1,IS 18313
FAM-2346689ACFF7,IS 18342
FAM-28302CE45030,IS 18343
FAM-94C37C60EBE4,IS/ISO/TS 24179
FAM-D34DE0D805DA,IS/ISO 30415
FAM-A157396FA151,IS/ISO/TS 30411
FAM-5C956A7EBDE9,IS 2469
FAM-D21E995C6C82,IS 2405
FAM-154F8A8C751F,IS 2095
FAM-48A8C9DF3010,IS 2582
FAM-40FE03F56C4A,IS/ISO 13041
FAM-A842941A35A3,IS 14407 : 2023
FAM-D800EC85B96B,IS 17277
FAM-5726A396D6B9,IS 18263
FAM-447A77F489F6,IS 18285
FAM-F43E8D9868F8,IS 18318
FAM-2A7607F7CC18,IS 18340
FAM-C741515BA1C4,IS 296
FAM-6CC384A31C70,IS 330
FAM-CA2ED9588FDD,IS 3722
FAM-1CB5D9493FB2,IS 7026
FAM-C4F375D5C695,IS 8331
FAM-E036B3DDF6A2,IS 11054
FAM-2C199D188234,IS 14518
FAM-26F056E587E5,IS 14741
FAM-DCED0A5156EB,IS 18309
FAM-21FF226B6181,IS/IEC/TR 61400
FAM-E7BBEED5AD61,IS 12618
FAM-71AF8990E807,IS 5137
FAM-3101EBBF4070,IS 18373
FAM-BB50FB89EBAB,IS 10939
FAM-E675E98B39A6,IS 5988
FAM-73D9CED6651F,IS/ISO 17090
FAM-FF89F97EAFBA,IS 5712
FAM-9A3536023A3D,IS 9160
FAM-8502CFD99DC2,IS 2823
FAM-95A5B92273AD,IS 255
FAM-B1AEA0F0EC3B,IS 333
FAM-30263120C300,IS 380
FAM-53E978251C8A,IS 1290
FAM-404BD6845751,IS 3031
FAM-6E076329BB51,IS 7541
FAM-802635257C19,IS 8642
FAM-6E2D31B7DE02,IS 9663
FAM-0117F6F692B9,IS 12008
FAM-61BD51C90A36,IS 18287
FAM-9F402A3237B2,IS 2136
FAM-71D722FF62AF,IS 18304
FAM-A0728FABFE00,IS 175
FAM-742CFA611F7B,IS 790
FAM-C841187FE055,IS 2697
FAM-1C29D21907D9,IS 2962
FAM-605335E322C9,IS 5056
FAM-28DD782F0B10,IS 7140
FAM-14FF7BF3EDB8,IS 11913
FAM-7F6F1A32F9C6,IS 6480
FAM-F024435C592C,IS 11031
FAM-95920ED9AF4E,IS 12489
FAM-CDA8D16525E1,IS 11389
