standard_family_id,standard_family_key
FAM-F6E30A2C6A7E,IS 19809
FAM-DD4CB879A940,IS 8682
FAM-B181086B52CB,IS/ISO 7507
FAM-9FEBCA027157,IS 19726
FAM-7FE7B643DA86,IS 20201
FAM-BEBAEA76B7D5,IS 432
FAM-02BB0CC22CEB,IS 10125
FAM-A56115F54ECC,IS 12292
FAM-5451BD34AD5B,IS 19519
FAM-AC6E407CD2D8,IS 4289
FAM-2E99A73C8DE6,IS 16805
FAM-56F9BBF99B5D,IS 16893
FAM-07FF7E6ED306,IS 19775
FAM-BA9200667705,IS 19826
FAM-964A32E2BD46,IS 19829
FAM-A4754F5BF02E,IS 19830
FAM-40916FC9B544,IS 19828
FAM-21ECDF1E55B4,IS 19831
FAM-C7DA800AE68D,IS/IEC 61537
FAM-3E24B3C0F08F,IS 16724
FAM-36FD57C1C091,IS 8810
FAM-7BD6899580E8,IS 19778
FAM-6BE9B5362288,IS 19711
FAM-32E87C1721EE,IS 19632
FAM-240AD7989846,IS 19359
FAM-B2C661D57AB5,IS 19636
FAM-098E45EE98F8,IS 19827
FAM-42ABB0E5C56B,IS 19832
FAM-BA19F7E82F12,IS 19833
FAM-D41CCC896192,IS 3009
FAM-127589AFBA39,IS 18698
FAM-9D5D54A256E6,IS 19749
FAM-100553ACA171,IS 19788
FAM-C4058322C1D0,IS 19850
FAM-A404316122DF,IS/ISO 14001
FAM-221C32472ABD,IS 19756
FAM-666C0366E598,IS 19782
FAM-A419B46D097A,IS 19766
FAM-452581D0654F,IS 12036
FAM-9421D81C0FF8,IS 17905
FAM-9E166AF6E025,IS 12062
FAM-0F9655C44D49,IS 2072
FAM-EAADC94B6F0E,IS 82
FAM-BA7A01E85DF9,IS 19790
FAM-0A3A8D23658F,IS 19047
FAM-68D26DE461EB,IS 19741
FAM-8B7D25F8F69D,IS 19821
FAM-268A909673BA,IS 10273
FAM-92C90EF166D2,IS 12226
FAM-1DAD1ABE5E76,IS 15365
FAM-4A9F29E7DF7D,IS 13425
FAM-D35517BD121B,IS 19787
FAM-1D82F8ECB1B0,IS 19736
FAM-62E82D4ED692,IS 19740
FAM-8FB03D1E7898,IS 19742
FAM-F31E198258E6,IS 19735
FAM-4465272C687B,IS 19737
FAM-59FFC8F54DE5,IS 7762
FAM-38B78FAA8E2D,IS 6420
FAM-FB82A500D770,IS 7758
FAM-FD6762CC16E4,IS 8771
FAM-2C7506689F6C,IS 7767
FAM-42F8EAB7189C,IS 9062
FAM-E0C3D488F04D,IS 5722
FAM-372DA48FADC2,IS 10009
FAM-AA956FDF7166,IS 9061
FAM-A63C9F7355D5,IS 9134
FAM-E00FDF4C6EF7,IS 11244
FAM-A1F996C6771B,IS 19734
FAM-AF38C3957BF8,IS 4296
FAM-91264910AD6F,IS 15511
FAM-CF134FAC8303,IS 8533
FAM-308F2025A6A4,IS 16762
FAM-C9B3EB6DCC17,SP 7
FAM-756219C0EC77,IS 8605
FAM-A13A261CF945,IS 4997
FAM-DD96D76CED76,IS 9401
FAM-D2E452AB29F2,IS 5878
FAM-9FB577ACBF50,IS 12633
FAM-198E21752378,IS 10334
FAM-4D1D2ED78AB8,IS 10434
FAM-F35153693685,IS 15310
FAM-79482A060AC5,IS 11639
FAM-54906005BD5B,IS 12615
FAM-C4FF90F3D5FD,IS 19789
FAM-19BFEBDD6055,IS 17900
FAM-C847F283BCAC,IS/IEC 60068
FAM-11AA87858211,IS 19791
FAM-919BF3E4EFE6,IS/IEC 62563
FAM-78FE48916967,IS 8317
FAM-21C139B90D09,IS 16783
FAM-2AA37E854AC4,IS 17039
FAM-4FD1140998FB,IS 19797
FAM-9A6B417A3F90,IS 19771
FAM-9A95E039808E,IS 10284
FAM-A71502DFEC8A,IS 8861
FAM-DD3A46D9601C,IS 8873
FAM-6F1F770C35B6,IS 4887
FAM-7E37614D8F09,IS 507
FAM-5599F9A68471,IS 9611
FAM-BBBBE428E1D7,IS 5573
FAM-C642660D8CDD,IS 3916
FAM-A27A9358BB65,IS 8543
FAM-073B59B95F7D,IS 1216
