path_id,start_entity_id,end_entity_id,path_json,validation_status
PATH-9E1E3D4A8D4D3FEA,MSV1-20B828566EF9053A,MSV1-20B828566EF9053A,"[""MSV1-20B828566EF9053A""]",INFERRED_FAMILY_PATH
PATH-01E82D38DE1B4BA1,MSV1-9889425AF41E291A,MSV1-9889425AF41E291A,"[""MSV1-9889425AF41E291A""]",INFERRED_FAMILY_PATH
PATH-6D8A20400DEEA714,MSV1-25D861FCEF1F693C,MSV1-25D861FCEF1F693C,"[""MSV1-25D861FCEF1F693C""]",INFERRED_FAMILY_PATH
PATH-F09DE5837279F497,MSV1-242DA2B647A645E9,MSV1-242DA2B647A645E9,"[""MSV1-242DA2B647A645E9""]",INFERRED_FAMILY_PATH
PATH-D21364C583E6C9F9,MSV1-9A6F3EAF485308C9,MSV1-9A6F3EAF485308C9,"[""MSV1-9A6F3EAF485308C9""]",INFERRED_FAMILY_PATH
PATH-17ACA262549A85BA,MSV1-20942F5B911FB751,MSV1-20942F5B911FB751,"[""MSV1-20942F5B911FB751""]",INFERRED_FAMILY_PATH
PATH-05EAF8DB9CD23255,MSV1-6524F5C4E367CA2E,MSV1-A2BD86F19FF59A07,"[""MSV1-6524F5C4E367CA2E"", ""MSV1-C392E6B1D213CFDA"", ""MSV1-A2BD86F19FF59A07""]",INFERRED_FAMILY_PATH
PATH-200C5ADDE4347126,MSV1-F0C5F6722053762D,MSV1-F0C5F6722053762D,"[""MSV1-F0C5F6722053762D""]",INFERRED_FAMILY_PATH
PATH-32B165ED7FBA1B34,MSV1-3B4866FEBC37C89C,MSV1-3B4866FEBC37C89C,"[""MSV1-3B4866FEBC37C89C""]",INFERRED_FAMILY_PATH
PATH-AFC8AE57DC11BEBB,MSV1-B7955BEC804AA308,MSV1-B7955BEC804AA308,"[""MSV1-B7955BEC804AA308""]",INFERRED_FAMILY_PATH
PATH-736735802C298B8A,MSV1-E2F3F20448329D73,MSV1-E2F3F20448329D73,"[""MSV1-E2F3F20448329D73""]",INFERRED_FAMILY_PATH
PATH-E6864DAB5F5DA05F,MSV1-6EB8CD6DCA617587,MSV1-6EB8CD6DCA617587,"[""MSV1-6EB8CD6DCA617587""]",INFERRED_FAMILY_PATH
PATH-BFD012BB4108146C,MSV1-B1755FE3602D1C1A,MSV1-B1755FE3602D1C1A,"[""MSV1-B1755FE3602D1C1A""]",INFERRED_FAMILY_PATH
PATH-A41035AC0CFC4AFD,MSV1-4EF71BCCBEB4E59F,MSV1-85960E7237256DCC,"[""MSV1-4EF71BCCBEB4E59F"", ""MSV1-85960E7237256DCC""]",INFERRED_FAMILY_PATH
PATH-4DB2ED8BE32CE05A,MSV1-5BBAB03147CCA748,MSV1-5BBAB03147CCA748,"[""MSV1-5BBAB03147CCA748""]",INFERRED_FAMILY_PATH
PATH-CE03D127BF5DCDAE,MSV1-92DAC0B9BC7E8B8B,MSV1-92DAC0B9BC7E8B8B,"[""MSV1-92DAC0B9BC7E8B8B""]",INFERRED_FAMILY_PATH
PATH-74F39E59FEB06A16,MSV1-A0A97612E294BC24,MSV1-A0A97612E294BC24,"[""MSV1-A0A97612E294BC24""]",INFERRED_FAMILY_PATH
PATH-7BF627AB235A4343,MSV1-F46D700605EC7214,MSV1-F46D700605EC7214,"[""MSV1-F46D700605EC7214""]",INFERRED_FAMILY_PATH
PATH-5D43062EB63B5366,MSV1-9C092E85BCA76753,MSV1-9C092E85BCA76753,"[""MSV1-9C092E85BCA76753""]",INFERRED_FAMILY_PATH
PATH-AF9D6B9220FA4C8E,MSV1-8F3D2D2DB8D962B2,MSV1-8F3D2D2DB8D962B2,"[""MSV1-8F3D2D2DB8D962B2""]",INFERRED_FAMILY_PATH
PATH-8C830E46723FF771,MSV1-30FC3A09F521A845,MSV1-A7BC3D44EC6550D7,"[""MSV1-30FC3A09F521A845"", ""MSV1-662A4477D549AEBA"", ""MSV1-E91540789A2BB099"", ""MSV1-B20068D6E9C9ACA0"", ""MSV1-A7BC3D44EC6550D7""]",INFERRED_FAMILY_PATH
PATH-2F13E2BDD62D3FFB,MSV1-0C47AA7CB99DA014,MSV1-0C47AA7CB99DA014,"[""MSV1-0C47AA7CB99DA014""]",INFERRED_FAMILY_PATH
PATH-81399E1D80C5EADB,MSV1-4A251FC127EFB0D3,MSV1-4A251FC127EFB0D3,"[""MSV1-4A251FC127EFB0D3""]",INFERRED_FAMILY_PATH
PATH-FD880DC86D827543,MSV1-42F57461CBEFFD6B,MSV1-42F57461CBEFFD6B,"[""MSV1-42F57461CBEFFD6B""]",INFERRED_FAMILY_PATH
PATH-982EA09ADC926D98,MSV1-06C3CDBDA79CE6A4,MSV1-06C3CDBDA79CE6A4,"[""MSV1-06C3CDBDA79CE6A4""]",INFERRED_FAMILY_PATH
PATH-67DDF6670A3EA450,MSV1-239F4CB8D078215E,MSV1-239F4CB8D078215E,"[""MSV1-239F4CB8D078215E""]",INFERRED_FAMILY_PATH
PATH-699BC75B48FB2417,MSV1-91D6F16DCB9E4678,MSV1-91D6F16DCB9E4678,"[""MSV1-91D6F16DCB9E4678""]",INFERRED_FAMILY_PATH
PATH-8BAE0E7EBB3BC45B,MSV1-45003C697DBF8166,MSV1-39860615EA6DD3C4,"[""MSV1-45003C697DBF8166"", ""MSV1-39860615EA6DD3C4""]",INFERRED_FAMILY_PATH
PATH-EAFA1F7C079E8B5A,MSV1-11577F1F4ED95A0D,MSV1-11577F1F4ED95A0D,"[""MSV1-11577F1F4ED95A0D""]",INFERRED_FAMILY_PATH
PATH-84A63CF37979A1FD,MSV1-C1A2C52ED7053320,MSV1-C1A2C52ED7053320,"[""MSV1-C1A2C52ED7053320""]",INFERRED_FAMILY_PATH
PATH-EF0A41824AF1FBFC,MSV1-C2E543284FF123C1,MSV1-C2E543284FF123C1,"[""MSV1-C2E543284FF123C1""]",INFERRED_FAMILY_PATH
PATH-4F78DA04C94A71BE,MSV1-62FC48C1E0AC1573,MSV1-62FC48C1E0AC1573,"[""MSV1-62FC48C1E0AC1573""]",INFERRED_FAMILY_PATH
