reference_id,from_standard_id,to_standard_id,relationship_type,evidence,source,validation_status
REF-630906B7E7177D1E,MSV1-8DF868A81D7A0E2A,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-56BB7575F5DB1321,MSV1-52A9639E1762156A,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-626D37EFBD18A464,MSV1-AC4D3D747EFD6CC3,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-50EDAD8A279C1044,MSV1-52A4FC6EAEBF8FE1,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-6F417D462B4F56B1,MSV1-F6BAB5C5201D5B3E,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-6BBFC754057D0DDF,MSV1-CB5033454CF46F97,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-67916D205C1585BB,MSV1-1D08C26BAABC450A,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-3CEF837EAA5CA803,MSV1-121E312273C342CD,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-33C4D145E5210294,MSV1-238440F8B1C5DF30,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-0F4E4F94D144AC45,MSV1-17AB49410C808873,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
