standard_number,portal_status,status_date,reviewed_in,title,certification,department,technical_committee,amendment_count,reaffirmation_year,superseded_by,source_id,verification_date
IS 6911:2017,Withdrawn,2026-08-18,2022,"Stainless steel plate, sheet and strip - Specification (Second Revision)",N/A,Metallurgical Engineering Department (MTD),MTD 16 - Alloy Steels And Forging Sectional Committee,5,2022,IS 6911:2026,SRC-V04-002,2026-09-06
IS 10086:2021,CURRENT_IN_PORTAL,,2025,"Moulds for Use in Tests of Cement, Concrete and Pozzolana (First Revision)",Voluntary Certification,Civil Engineering Department (CED),CED 02 - Cement And Concrete,2,,,SRC-V04-002,2026-09-06
