standard_id,source_record_id,standard_number,standard_number_raw,publication_prefix,base_standard_number,part,section,publication_year,suffix,standard_family_key,identifier_parse_status,title,title_raw,title_normalized,publication_date,date_of_publish_raw,type_of_standard,degree_of_equivalence,inventory_status,current_status,scope,department,committee,sector,product_category,validation_status,source,source_type,source_file,source_sheet,source_row_number,source_url,source_date,retrieval_date,last_verified,record_type,synthetic_flag,issue_type
MSV1-904221444FADF2F9,XLSX-PUBLISHED-06862,IS 15586:2022,IS 15586:2022,IS,15586,,,2022,,IS 15586,PARSED_CONSERVATIVELY,Securities and related financial instruments- Classification of financial instruments CFI code (Third Revision),Securities and related financial instruments- Classification of financial instruments CFI code (Third Revision),securities and related financial instruments classification of financial instruments cfi code third revision,2023-05-16,16 May 2023,Service Specification,Identical under dual numbering,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,6862,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-0E9CC80AA6902BA6,XLSX-PUBLISHED-06867,IS 15586:2021,IS 15586:2021,IS,15586,,,2021,,IS 15586,PARSED_CONSERVATIVELY,Securities and related financial instruments- Classification of financial instruments CFI code (Third Revision),Securities and related financial instruments- Classification of financial instruments CFI code (Third Revision),securities and related financial instruments classification of financial instruments cfi code third revision,2023-05-16,16 May 2023,Service Specification,Identical under dual numbering,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,6867,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-CF08201B76026BBE,XLSX-PUBLISHED-07054,IS 13450 (Part 2/Sec 35):2023,IS 13450 (Part 2/Sec 35):2023,IS,13450,2/Sec 35,35,2023,,IS 13450,PARSED_CONSERVATIVELY,Medical Electrical Equipment Part 2 Particular Requirements for the Basic Safety and Essential Performance Section 35 Heating devices using blankets pads or mattresses and intended for heating in medical use,Medical Electrical Equipment Part 2 Particular Requirements for the Basic Safety and Essential Performance Section 35 Heating devices using blankets pads or mattresses and intended for heating in medical use,medical electrical equipment part 2 particular requirements for the basic safety and essential performance section 35 heating devices using blankets pads or mattresses and intended for heating in medical use,2023-04-25,25 Apr 2023,Product Specification,Identical under dual numbering,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,7054,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-A5D3550C6BF8B082,XLSX-PUBLISHED-07463,IS/ISO 13408 (Part 1):2008,IS/ISO 13408 (Part 1):2008,IS/ISO,13408,1,,2008,,IS/ISO 13408,PARSED_CONSERVATIVELY,Aseptic processing of health care products Part 1 General requirements,Aseptic processing of health care products Part 1 General requirements,aseptic processing of health care products part 1 general requirements,2023-01-11,11 Jan 2023,Code of Practice,Identical under single numbering,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,7463,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-8AD9FBF67A083746,XLSX-PUBLISHED-07904,IS 9317:2022,IS 9317:2022,IS,9317,,,2022,,IS 9317,PARSED_CONSERVATIVELY,SKIS VOCABULARY,SKIS VOCABULARY,skis vocabulary,2022-09-30,30 Sep 2022,Terminology,Indigenous,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,7904,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-C2D91E8A782D4CC4,XLSX-PUBLISHED-08145,IS/ISO 4301 (Part 2):2022,IS/ISO 4301 (Part 2):2022,IS/ISO,4301,2,,2022,,IS/ISO 4301,PARSED_CONSERVATIVELY,Cranes Classification Part 2 Mobile Cranes (First Revision),Cranes Classification Part 2 Mobile Cranes (First Revision),cranes classification part 2 mobile cranes first revision,2022-04-30,30 Apr 2022,System Standard,Identical under single numbering,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,8145,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-97085C279BDC22FF,XLSX-PUBLISHED-08850,IS 1448 (Part 186):2021,IS 1448 (Part 186):2021,IS,1448,186,,2021,,IS 1448,PARSED_CONSERVATIVELY,Petroleum Products and Related Products Determination of Kinematic Viscosity Method by Stabinger Type Viscometer,Petroleum Products and Related Products Determination of Kinematic Viscosity Method by Stabinger Type Viscometer,petroleum products and related products determination of kinematic viscosity method by stabinger type viscometer,2021-11-30,30 Nov 2021,Methods of Tests,Identical under dual numbering,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,8850,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-DAB81132A37570EC,XLSX-PUBLISHED-09020,IS/ISO 14533 (Part 3):2017,IS/ISO 14533 (Part 3):2017,IS/ISO,14533,3,,2017,,IS/ISO 14533,PARSED_CONSERVATIVELY,Processes data elements and documents in commerce industry and administration- Long term signature profiles- Part 3: Long term signature profiles for PDF Advanced Electronic Signatures PAdES,Processes data elements and documents in commerce industry and administration- Long term signature profiles- Part 3: Long term signature profiles for PDF Advanced Electronic Signatures PAdES,processes data elements and documents in commerce industry and administration long term signature profiles part 3 long term signature profiles for pdf advanced electronic signatures pades,2021-10-31,31 Oct 2021,Others,Identical under single numbering,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,9020,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-F00D0C3DB033508F,XLSX-PUBLISHED-09200,IS 1448 (Part 187):2021,IS 1448 (Part 187):2021,IS,1448,187,,2021,,IS 1448,PARSED_CONSERVATIVELY,Methods of test for Petroleum and its Products Part 187 Petroleum Products-Determination of Sulfated Ash in Lubricating Oils and Additives,Methods of test for Petroleum and its Products Part 187 Petroleum Products-Determination of Sulfated Ash in Lubricating Oils and Additives,methods of test for petroleum and its products part 187 petroleum products determination of sulfated ash in lubricating oils and additives,2021-09-30,30 Sep 2021,Methods of Tests,Identical under dual numbering,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,9200,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-B174B158F37295FE,XLSX-PUBLISHED-09384,IS 9873 (Part 6):2021,IS 9873 (Part 6):2021,IS,9873,6,,2021,,IS 9873,PARSED_CONSERVATIVELY,SAFETY OF TOYS PART 6 CERTAIN PHTHALATE ESTERS (Second Revision ),SAFETY OF TOYS PART 6 CERTAIN PHTHALATE ESTERS (Second Revision ),safety of toys part 6 certain phthalate esters second revision,2021-08-31,31 Aug 2021,Methods of Tests,Identical under dual numbering,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,9384,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
